Id,Title,Message,Time,Time_diff
11,Add support for building other architectures.,"Add support for building other architectures.

Since we often make changes that might break on other architectures,
let the buildbot deal with some of these for us. They can be invoked
by `bionicbb:ARCH`, where `ARCH` is one of:

 * arm
 * aarch64
 * mips
 * mips64
 * x86
 * x86_64

Specifying arm isn't particularly interesting (since the default
target for the buildbot is hammerhead), but there are some differences
in the math instructions available for the default ARM target, so it
could be helpful for testing changes to the compiler-rt builtins.

Change-Id: I94018fd3c30d26fcf405e747fc633cbdd08ff4e5
",2015/1/10 6:45,0
12,Add --no-clean to checker (keeps the generated files around),"Add --no-clean to checker (keeps the generated files around)

Change-Id: Iefef18f3456f79684077912e1f8b614d56e13ca6
",2015/1/16 11:58,0
13,Remove test obsoleted by https://android-review.googlesource.com/#/c/115054/,"Remove test obsoleted by https://android-review.googlesource.com/#/c/115054/

Change-Id: Ifdca0fd62778e1a8a1741f307abd602429b9f6d4",2014/11/19 0:26,0
14,Fix typo comment by removing.,"Fix typo comment by removing.

Change-Id: I09764f194317634164be9431328013205fba2910
",2014/6/11 23:44,0
15,[WIP] Inline codegen for long-to-double on ARM.,"[WIP] Inline codegen for long-to-double on ARM.

Change-Id: I4fc443c1b942a2231d680fc2c7a1530c86104584
",2013/12/20 1:59,0
16,Fix SELinux security context computation for logwrapper.,"Fix SELinux security context computation for logwrapper.

If executing logwrapper, adapt the SELinux security context
computation to be based on the security context of the executable
launched by logwrapper rather than logwrapper itself.  This ensures
that sockets are correctly labeled when using logwrapper.

Change-Id: I2a80bd0818a64ba347355b5ac8e3961a0c6c8822
Signed-off-by: Stephen Smalley <sds@tycho.nsa.gov>
",2013/5/9 14:30,0
17,Use variable index size dictionaries to encode Dex register maps.,"Use variable index size dictionaries to encode Dex register maps.

- For each CodeInfo object (i.e. for each method), compute a
  dictionary of unique Dex register locations.  In Dex
  register maps, instead of storing the actual location of a
  (live) Dex register, store the index of the dictionary
  entry containing that Dex register location.
- Adjust art::StackMapStream,
  art::CheckReferenceMapVisitor::CheckOptimizedMethod,
  art::StackVisitor::GetVRegFromOptimizedCode, and
  art::StackVisitor::SetVRegFromOptimizedCode.
- Adjust art::DumpCodeInfo in oatdump/oatdump.cc.
- Add AddUnique and Find methods to art::GrowableArray.
- Add LoadBits and StoreBits methods to art::MemoryRegion
  to load and store a block of adjacent bits in a memory
  region.
- Update compiler/optimizing/stack_map_test.cc.

Change-Id: Id9e49d7756c253ce41c36630cd832208d06c2e28
",2015/3/18 15:36,0
18,Handle Density.ANYDPI,"Handle Density.ANYDPI

The configuration matcher might still need tweaks to choose
correctly among vector assets and bitmap assets.

Change-Id: I854f3a297e1aef99afcbe3ab39f60520c7b1944f",2015/2/10 18:33,0
19,74666: NPW should not install SDK components corresponding to the selected minSdkVersion level,"74666: NPW should not install SDK components corresponding to the selected minSdkVersion level

Change-Id: Iae60786d3c4e19ccafe9350812314adb87d8c520
",2014/8/8 20:19,0
20,Removed obsolete symbol cmsg_nxthdr.,"Removed obsolete symbol cmsg_nxthdr.

Bug: 15822452
Change-Id: I5322fb29522fc58e9c3489ff86216e25a12ef970
",2014/7/7 12:35,0
21,Removes unused code BuildFileUpdater code that's causing NPE,"Removes unused code BuildFileUpdater code that's causing NPE

Removes currently unused BuildFileUpdater code that's still running
and throwing NullPointerExceptions. If we need this in the future
we can reinstate it from git history and fix it.

Bug: 66822
Change-Id: If38f59b6811f2a8a66c31d5156bb34b5c50f7356
",2014/3/7 20:37,0
22,Add gradle build file.,"Add gradle build file.

Change-Id: Ibcbd77ed52bb160e2406f31f184e85daa941595a
",2013/1/8 17:52,0
23,Change -mfpu= back to vfp now that clang and gcc are consistent,"Change -mfpu= back to vfp now that clang and gcc are consistent

Now that -mfpu=vfp is consistent between clang and gcc (*1), change
-mfpu=vfp for armeabi-v7a (back from vfpv3-d16)

(*1) related CL: https://android-review.googlesource.com/#/c/44082

Change-Id: I4f2df0f17de1fc6eadbc8b53d19e2e78620a2dc4
https://android-review.googlesource.com/#/c/44082
",2012/10/4 10:40,0
24,AArch64: Port Dalvik to 64bit,"AArch64: Port Dalvik to 64bit

Change Dalvik such that it compiles and runs as a 64bit program.
Supports only the C interpreter and builds only on the 64bit host.
The VM runs ordinary Dalvik bytecode. The interpreter has been changed to have
64bit registers, but the Java types remain unchanged. The garbage collector,
JNI and interpreter are functional.

Change-Id: I8112930a95cb2f8285bb9d285ec102a24651cd1f
Signed-off-by: Stuart Monteith <Stuart.Monteith@arm.com>
Signed-off-by: Dave Butcher <dave.butcher@arm.com>
Signed-off-by: Matteo Franchin <matteo.franchin@arm.com>
Signed-off-by: Vassilis Laganakos<vasileios.laganakos@arm.com>
",2014/1/31 16:29,0
25,Add SOCK_CLOEXEC and SOCK_NONBLOCK socket flags.,"Add SOCK_CLOEXEC and SOCK_NONBLOCK socket flags.

SOCK_CLOEXEC is used to atomically set close-on-exec flag for the new
descriptor(s), and SOCK_NONBLOCK is used to mark descriptor(s) as
non-blocking.

Change-Id: I8ba6a70543d23759e3ddcc7ff9c21b567184d681
",2013/10/17 20:32,1
26,Fix build for clang.,"Fix build for clang.

Add an explicit cast to FOURCC to prevent narrowing.
Remove uses of the register keyword. It is deprecated, and in the
words of Herb Sutter, is ""exactly as meaningful as whitespace"".

Change-Id: If4fcdfb90a6fa6a7dc1b983797b64e8393d6f8ac
",2014/11/28 22:34,1
27,ndk: Fix platform headers for single inclusion.,"ndk: Fix platform headers for single inclusion.

This ports the following Bionic patch to the NDK platform headers:
    https://android-review.googlesource.com/#/c/114929/

http://b.android.com/79841

Change-Id: I03669d7c95ff1914809a59af0d2a84e697191f10
",2014/11/18 11:43,1
28,64bit compatible change for NinePatch,"64bit compatible change for NinePatch

NinePatch has 32bit pointer embedded which can't work for 64bit
system. We need to convert the 32bit style NinePatch data to 64bit.

Change-Id: Ie62cf2355257ddd54a9211427a9333f9a245c263
Signed-off-by: Fengwei Yin <fengwei.yin@intel.com>
",2014/3/6 14:07,1
29,Add testcase for issue 81440 about clang crash on non-ascii comments,"Add testcase for issue 81440 about clang crash on non-ascii comments

See b.android.com/81440

Change-Id: I1753662c9334c4d3d2df8737e7bfe1eb48ebd389
",2014/12/22 2:42,1
30,Handle constant conditions in code generators in opt. compiler.,"Handle constant conditions in code generators in opt. compiler.

The constant folding pass of the optimizing compiler may
replace the condition of a HIf instruction with a constant.
Evaluate such a constant condition at compile-time and if it
is true, generate a branch instructions to the corresponding
block.

Change-Id: I262e43ffe66d5c25dbbfa98092a41c8b3c4c75d6
",2014/10/3 15:27,1
31,Adding policies for KeyStore MAC.,"Adding policies for KeyStore MAC.

WORK IN PROGRESS

Add keystore_key class and an action for each action supported
by keystore. Add policies that replicate the access control that
already exists in keystore.

Change-Id: Iddd8672b9e9b72b45ee208e6eda608cc9dc61edc
",2014/6/19 21:28,1
32,Add functionlity to the scripts to replace tokens in kernel headers based on architecture.,"Add functionlity to the scripts to replace tokens in kernel headers
based on architecture.
",2013/1/17 22:56,1
33,NullPointerException invoking Field.getModifiers,"NullPointerException invoking Field.getModifiers

Change-Id: I56c5908d16458d36098ffa7e2dc8c3518280f2e3
",2012/7/28 4:24,1
34,libc: Fix headers to allow direct inclusion.,"libc: Fix headers to allow direct inclusion.

These headers are missing a few #includes to allow their direct
inclusion from C

http://b.android.com/79841

Change-Id: Ifc712c17f4da70b26adb67d4d49ed659f53c3621
",2014/11/18 11:38,1
35,Frameworks/base: Unused parameters in hwui,"Frameworks/base: Unused parameters in hwui

Remove Clang cutout for unused parameters. Fix warnings.

Remove Clang cutout for deprecated Skia function usage. Has been
fixed in the L push.

Change-Id: I7ea073ff67127cc1e14e798b655e2c50615fe8e7
",2014/11/21 17:51,1
36,Install 64-bit libarttest to /data/art-test64.,"Install 64-bit libarttest to /data/art-test64.

This fixed the build warning:
build/core/base_rules.mk:545: warning: overriding commands for target
`out/target/product/flounder/data/art-test/libarttest.so'

Change-Id: If400407428225ea16eb742e3659df62e27013b9c
",2014/3/29 0:43,2
37,Signed-off-by: esther530 <esther530@gmail.com>,"Signed-off-by: esther530 <esther530@gmail.com>

Modify test_longReadlink to only test up to a maximum of 159 characters for yaffs2
",2012/5/6 15:13,2
38,Fix sput-wide verification flag.,"Fix sput-wide verification flag.

The vA register for sput-wide is a wide register.  Thus, the
verification flag should be kVerifyRegAWide instead of
kVerifyRegA.

Without this change, the invalid Dex bytecode won't be
rejected by VerifyInstruction().  As the result, the
DCHECK_LT() in register_line-inl.h will abort the program.

Change-Id: I24b746d8a85ddaf811d9aebed12a3dd9f97d755f
",2014/9/11 11:27,2
39,Use expanded pathnames for rfkill selinux policy.,"Use expanded pathnames for rfkill selinux policy.

Prior attempt was to explicitly call restorecon
on /sys/class/rfkill/rfkill and use the general
policy file_contexts entries for rfkill. Since the
general policy is dropping those rfkill entries
from its file_contexts file we add them here
but be explicit about their paths.

Change-Id: Ic40a1d904bd8c77a32ea793e89b3306eaa2a9829
",2013/11/21 12:53,2
40,AArch64: LP64 fixes to libcore.,"AArch64: LP64 fixes to libcore.

Make changes to native and Java code to support 64 bit or 32 bit native
pointers held in Java longs.

In particular, the MemoryTest class, in Java, used ints to do pointer
calculations. This was inadequate and was crashing on 64bit platforms.
The class was changed to use longs for pointer calculations.

Also, the startElement methods in the ExpatParser and EntityParser classes
was changed to use long rather than int for the attributePointer parameter.
The attributePointer attribute of the ExpatParser class was also changed
from int to long. The JNI use of the ExpatParser class's startElement
method was changed accordingly.

Change-Id: Idbc5b0d75fb1915e52f666f6078008d9e71f2c0b
Signed-off-by: Stuart Monteith <Stuart.Monteith@arm.com>
Signed-off-by: Marcus Oakland <marcus.oakland@arm.com>
Signed-off-by: Matteo Franchin <matteo.franchin@arm.com>
",2014/1/31 16:29,2
41,Fix contiguos memory allocation overflow,"Fix contiguos memory allocation overflow

Check if the address space is exhausted when allocating
contiguous memory. The size of the allocated memory added
to the base address should not be larger than the maximum
address value.

Change-Id: I90ec76ec187b4898777291c4bce0011de68978de
Signed-off-by: Constantin Musca <constantin.musca@intel.com>
",2014/4/25 8:20,3
42,Fix the build,"Fix the build

InputJackLibraries are created for a 'jack.library.import' property
during Config construction but InputJackLibrary.check which is called
from the constructor of InputJackLibrary is creating an unmodifiable
collection using Jack.getUnmodifiableCollections().getUnmodifiableCollection
which depends on Config being already created. Fortunately check method
is protected and uses CommonJackLibrary.getFileTypes which calls
Jack.getUnmodifiableCollections().getUnmodifiableCollection to protect
CommonJackLibrary.fileTypes. We can use fileTypes directly in InputJackLibrary
which inherits from CommonJackLibrary instead of calling getFileTypes.

Change-Id: I9f6a5e2a4ebd91f491d5d7d998ae7e6db8230a49
",2015/2/27 13:15,3
43,Move tools to revision 22.,"Move tools to revision 22.

Also makes them depend on platform-tools 16 officially.

Change-Id: Iaaeb4ea5d5e04baeef4cb088bce35df4ac42e212
",2012/11/29 20:35,3
44,cpufreq: interactive: Initialise above_hispeed_delay_lock,"cpufreq: interactive: Initialise above_hispeed_delay_lock

The above_hispeed_delay_lock isn't being initialized, causing:

  BUG: spinlock bad magic on CPU#1, swapper/1/0
   lock: above_hispeed_delay_lock+0x0/0x20, .magic: 00000000, .owner: <none>/-1, .owner_cpu: 0

This patch resovles this simply by initializing the lock.

Change-Id: If2a7e658ec4a02b71bbff582467168a8be1a90e2
Signed-off-by: Jon Medhurst <tixy@linaro.org>
[jstultz: Tweaked commit message]
Signed-off-by: John Stultz <john.stultz@linaro.org>
",2013/4/26 16:47,3
45,cpufreq: governors: Move get_governor_parent_kobj() to cpufreq.c,"cpufreq: governors: Move get_governor_parent_kobj() to cpufreq.c

get_governor_parent_kobj() can be used by any governor, generic
cpufreq governors or platform specific ones and so must be present in
cpufreq.c instead of cpufreq_governor.c.

This patch moves it to cpufreq.c. This also adds
EXPORT_SYMBOL_GPL(get_governor_parent_kobj) so that modules can use
this function too.

Signed-off-by: Viresh Kumar <viresh.kumar@linaro.org>
Signed-off-by: Rafael J. Wysocki <rafael.j.wysocki@intel.com>
",2014/2/11 10:03,3
46,cpufreq: don't leave stale policy pointer in cdbs->cur_policy,"cpufreq: don't leave stale policy pointer in cdbs->cur_policy

Clear ->cur_policy when stopping a governor, or the ->cur_policy
pointer may be stale on systems with have_governor_per_policy when a
new policy is allocated due to CPU hotplug offline/online.

[rjw: Changelog]
Suggested-by: Viresh Kumar <viresh.kumar@linaro.org>
Signed-off-by: Jacob Shin <jacob.shin@amd.com>
Acked-by: Viresh Kumar <viresh.kumar@linaro.org>
Signed-off-by: Rafael J. Wysocki <rafael.j.wysocki@intel.com>
",2014/2/11 10:03,3
47,Add + code handling logic for SMS Global Roaming,"Add + code handling logic for SMS Global Roaming

When sending SMS from international CDMA NANP country, outgoing SMS is failed due to + code converting.
(Send a SMS text message: to an international phone number using the plus code (+)).

In kitkat, when user send a sms with plus code, the ""+"" converted to 011(NANP_IDP_STRING). And it works well.
However, in lollipop, the ""+"" converted to current IDP, not NANP_IDP_STRING. And it failed to send the SMS.

I think, we need to seperate SMS and Call logic like cdmaCheckAndProcessPlusCodeForSms and cdmaCheckAndProcessPlusCode.
sohryun.shin@lge.com

Change-Id: Ie9d402cbeb4de4ac30299d5820b33909d0e40320
",2015/1/12 5:11,4
48,Merge remote-tracking branch 'origin/android-3.10' into android-goldfish-3.10,"Merge remote-tracking branch 'origin/android-3.10' into android-goldfish-3.10

Mostly to fix a bug where the kernel would not report the stack pointer
of 32-bit processes when running on an ARM64 kernel.

Conflicts:
	arch/arm64/Kconfig
	arch/arm64/include/asm/ptrace.h
	arch/arm64/kernel/fpsimd.c

Signed-off-by: David 'Digit' Turner <digit@android.com>
",2014/9/3 12:12,4
49,xgcc compiles need to use the Android crt files,"xgcc compiles need to use the Android crt files

Change-Id: I70eb6c6aa11b455533581a6f303a56f8aab34b7a
Signed-off-by: Bruce Beare <bruce.j.beare@intel.com>
",2011/3/23 15:18,4
50,Fix ld.gold i586-mingw32msvc,"Fix ld.gold i586-mingw32msvc

By adding cast where i586-mingw32msvc-gcc gives warnings later
treated as errors

Change-Id: I98325a9ffc90c151647439bcef343fac9e360770
",2012/8/8 10:02,5
51,Turn off optimizations due to undefined behavior in assembler-arm.cc:fits_shifter.,"Turn off optimizations due to undefined behavior in assembler-arm.cc:fits_shifter.

Without this temporary fix, fits_shifter()'s undefined behavior results in broken
code. This change disables optimization on the host for the ARM target, which just
slows down host-side compilation. A future update to v8 removes the undefined
behavior and can turn optimizations back on.

Change-Id: Ib695f31354171b45ff6b8c52abacc2abde1856e4
",2015/3/31 0:07,6
52,Move unconfined domains out of permissive.,"Move unconfined domains out of permissive.

This change removes the permissive line from unconfined
domains. Unconfined domains can do (mostly) anything, so moving
these domains into enforcing should be a no-op.

See also: https://android-review.googlesource.com/68394

Change-Id: I4c5321f517879d84b6c8ae13691521f484cbb2d2
",2013/10/22 0:24,6
53,Don't check if this == NULL.,"Don't check if this == NULL.

Entering a method with this == NULL is undefined behavior, and will not
happen in well formed code. Clang whines about this.

Change-Id: I5a84ad3492305b2362f041db2bc3fa496098c435
",2014/9/9 2:00,6
54,Removed local gradle model jars from 'android' module.,"Removed local gradle model jars from 'android' module.

These jars are not needed since we get the libraries from
prebuilts.

Change-Id: I839c45fb5ce759464cbc5a81c97089c33942cb23
",2014/2/21 18:54,6
55,javac 7 problem with class files creation,"javac 7 problem with class files creation

  + [src/**/GSMPhone.java]
      javac 7 create an empty class.
      Use a constant or a ""final static"" variable is the same,
      Because javac inlines ""final static"" variables into constant.
      If the ""final"" keyword is removed, javac don't inlines it.
      This bug was reported and fixed for javac 8
      (http://bugs.sun.com/view_bug.do?bug_id=7199823)
      and a backport was claimed
      (http://mail.openjdk.java.net/pipermail/compiler-dev/2013-October/007860.html)

Change-Id: I6edf383edae237b29f60b3c7a6a0d6e9fd33adb1
Signed-off-by: Jerome Pilliet <pilliet@univ-mlv.fr>
",2013/11/8 11:26,7
56,[WIP] Enable optimizations for Arm64,"[WIP] Enable optimizations for Arm64

This CL enables optimizations that I believe are safe to enable.

The ones not enabled:

kLoadHoisting requires rework of PC def/use.  In arm32 we used updates
to the pc register to provide a barrier to hoisting loads above
branches.

kSuppressLoads requires kTrackLiveTemps, which is on hold while we
are working through the RefReg consistency issues.

kTrackLiveTemps needs debugging (likely problems around equality of
32 and 64-bit views of core registers (in particularly, those used
as references).

kPromoteRegs needs CL 99080 debugged and submitted.

kBBOpt may be ready, but will likely need debugging of the fused
branches.

Also, note that intrinsics and inlined methods are still turned off.

Change-Id: I20e4765925bebc0ac3b3001d199d403ed5a85fa6
",2014/6/27 22:28,8
57,Move the pthread debugging flags to the right place.,"Move the pthread debugging flags to the right place.

Change-Id: Ie805bd837d1f72cdf1818e056c0baeb0857e4e84
",2013/10/31 21:10,9
58,Fix a crash when creating an incognito tab on tablet,"Fix a crash when creating an incognito tab on tablet

Incognito mode is no longer supported from KitKat.
Opening an incognito tab leads to crash.
So hide the menu item on table as well as phone.

Change-Id: I70e6b1d70d0913fdddb66b200b0ce5f760e66189
",2014/5/7 8:57,9
59,"Revert ""Revert ""fs_mgr_verity: Add support for squashfs""""","Revert ""Revert ""fs_mgr_verity: Add support for squashfs""""

This reverts commit 7b97c7a3fa0f1bdae5b45a70f625ff48f9dab0c1.

Change-Id: Id47e70479fe9247b7936f2e54d4dbfbb4f63f635
",2015/4/9 1:03,9
60,Fix the media scanner infinite loop issue.,"Fix the media scanner infinite loop issue.

Certain application might pass the path containing consecutive
slashes to Download Manager. While scanning such paths, the media
scanner would enter infinite loop, then the process
android.process.media would cause 40-50% of CPU usage all the time even
after rebooting. Fix the infinite loop issue to be tolerant of such
invalid paths.

Change-Id: I73c1456a6c77f7ba7c66a2b6371afcdd155d9fd2
Signed-off-by: Harish Subramony<harish.subramony@intel.com>
Signed-off-by: Mazhar <mazharx.sameullah@intel.com>
",2014/4/30 8:13,12
61,ART: Use StackReference in Quick Stack Frame,"ART: Use StackReference in Quick Stack Frame

The method reference at the bottom of a quick frame is a stack
reference and not a native pointer. This is important for 64b
architectures, where the notions do not coincide.

Change key methods to have StackReference<mirror::ArtMethod>*
parameter instead of mirror::ArtMethod**. Make changes to
invoke stubs for 64b archs, change the frame setup for JNI code
(both generic JNI and compilers), tie up loose ends.

Tested on x86 and x86-64 with host tests. On x86-64, tests succeed
with jni compiler activated. x86-64 QCG was not tested.

Tested on ARM32 with device tests.

ARM64 tests in progress.

Change-Id: I77931a0cbadd04d163b3eb8d6f6a6f8740578f13
",2014/5/29 9:49,12
62,"Revert ""Workaround for the LDRD/STRD abbreviated syntax.""","Revert ""Workaround for the LDRD/STRD abbreviated syntax.""

This reverts commit 6ab74ffccd71a0a27b5dc05eccb98bed0bca3e94.

In favor or upstream fix https://android-review.googlesource.com/#/c/62486/

Change-Id: Ica2a02ab23b4fe75946f6e01dadcd080f93473c3
",2013/7/30 4:38,12
63,Add missing X11 extension headers.,"Add missing X11 extension headers.

This patch modifies the set of packages used to build the toolchain
sysroot to include libxext-dev, which is required to provide certain
headers like <X11/extensions/XShm.h> required to build the emulator's
SDL sources.

+ Ensure the environment is properly sanitized when building the
  toolchain.

Change-Id: I219d647bae8e71b353b5973261150f4bb6656501",2014/3/27 12:54,12
64,drivers: tty: goldfish: support platform_device with id -1,"drivers: tty: goldfish: support platform_device with id -1

When the platform bus sets the platform_device id to -1
(PLATFORM_DEVID_NONE), use an incrementing counter for the TTY index
instead

Change-Id: Ie7f56064b164f8f05df098b253d3658541f4e9ab
Signed-off-by: Greg Hackmann <ghackmann@google.com>",2014/12/16 20:14,13
65,Add mips32r6 STL binaries,"Add mips32r6 STL binaries

Change-Id: I90637b6f075b58d5e1325cb007c9e7f9294ad1e6
",2014/12/9 8:56,13
66,NetworkImage - fix nullPointerException.,"NetworkImage - fix nullPointerException.

1. getLayoutParams() can be null.
2. old version used LinearLayout.LayoutParams instead of ViewGroup.LayoutParams
",2013/6/26 19:49,14
67,Update counting VR for promotion,"Update counting VR for promotion

For 64-bit it makes sense to compute VR uses together for
int and long because core reg is shared.

Change-Id: Ie8676ece12c928d090da2465dfb4de4e91411920
Signed-off-by: Serguei Katkov <serguei.i.katkov@intel.com>
",2014/7/7 5:01,14
68,download-toolchain-sources.sh: speedup script,"download-toolchain-sources.sh: speedup script

This patch makes the download script faster by avoiding checking out
all the sources from all cloned git repositories, then removing those
that we don't need.

Instead, we clone, without checkout, the git repositories, then
only checkout the directories that we need to build the NDK toolchain
binaries.

This is faster because it avoids checking out a lot of obsolete
sources for old/unused versions of binutils / gcc.

Local benchmark shows: before ~ 3 mins, after ~ 2 mins.

Change-Id: I8411d5f4e60beb1c56c162bd07638c91275367a9
",2012/4/20 23:54,14
69,logd: selinux auditd initial commit,"logd: selinux auditd initial commit

Initial commit for an audit daemon that writes kernel audit
messages to the Android logger. The daemon searches dmesg
for all lines that contain ""audit"" and writes them. Then
receiving the messages from the netlink socket.

It also formats the messages so they are compatable with
ausearch (type=<t> <m> format)

Modified: Mark Salyzyn <salyzyn@google.com>

- do not start auditd
- merge into logd, stripping unnecessary file logging.
- Convert headers and code to support C++
- Fix bugs in libaudit

Change-Id: I421bcf33e7e670d596628b1b5c7c25536ce2d3fe
",2014/4/1 22:05,14
70,Correct __NR_perf_event_open,"Correct __NR_perf_event_open

It seems that x86 version of __NR_perf_event_open is 336

Change-Id: I10a7d4c2c454f99f0d07d70a033cb539758a76d5
",2012/8/30 10:57,15
71,Initial upload of llvm libc++abi (r192248).,"Initial upload of llvm libc++abi (r192248).

Upload libc++abi sources for the unwind functions.

No any NDK-related modification in this CL, the build script will come later.

Change-Id: If43306d9fb19fcf53bc00855afab17e2480a1880
",2013/11/7 2:46,15
72,Downgrade a lot of clang Werrors to warnings.,"Downgrade a lot of clang Werrors to warnings.

The project redefines typedefs, which is a C11 feature, so move from
C99 to C11. Also fix format specifier error. Fix this one instead of
suppressing it because it's a real bug.

Change-Id: I714b22da1e111b6e588be4dccf05320ae0e9b9cb
",2014/11/28 21:17,16
73,Allow system_app to start bugreport and to create /data/anr/traces.txt.,"Allow system_app to start bugreport and to create /data/anr/traces.txt.

Resolves denials such as:

avc:  denied  { set } for property =ctl.bugreport scontext=u:r:system_app:s0 tcontext=u:object_r:ctl_default_prop:s0 tclass=property_service

avc:  denied  { write } for  pid=4415 comm=5369676E616C2043617463686572 name=""anr"" dev=""dm-0"" ino=358337 scontext=u:r:system_app:s0 tcontext=u:object_r:anr_data_file:s0 tclass=dir

avc:  denied  { add_name } for  pid=4415 comm=5369676E616C2043617463686572 name=""traces.txt"" scontext=u:r:system_app:s0 tcontext=u:object_r:anr_data_file:s0 tclass=dir

avc:  denied  { create } for  pid=4415 comm=5369676E616C2043617463686572 name=""traces.txt"" scontext=u:r:system_app:s0 tcontext=u:object_r:anr_data_file:s0 tclass=file

Change-Id: I71d0ede049136d72f28bdc85d52fcefa2f7d128f
Signed-off-by: Stephen Smalley <sds@tycho.nsa.gov>
",2014/3/6 19:49,16
74,"Removing OTG USB stick, the media database dosen't update.","Removing OTG USB stick, the media database dosen't update.

When otg usb disk is removed, the MediaScanner should rescan and update database.
Or files in the usb disk are still seen in gallery and music application.

Change-Id: Ib3df1b3c4044574e3fc35c1e470aef7059dffe9e
Signed-off-by: Gao,KunX <kunx.gao@intel.com>
",2014/4/22 8:44,17
75,Add d_demangle_nalloc to prevent dynamic allocation,"Add d_demangle_nalloc to prevent dynamic allocation

Implements an interface with no dynamic allocation
to avoid deadlocks or issues when the system runs
out of memory of when the interface is called from
the allocator itself.

Change-Id: I661d59f0b3b3d369ab16a0ac945172c7ad38cabc
Signed-off-by: Jean-Christophe PINCE <jean-christophe.pince@intel.com>
",2014/4/18 5:48,17
76,MediaCodec: Fix reading the MediaImage struct on 64 bit ARM,"MediaCodec: Fix reading the MediaImage struct on 64 bit ARM

In 64 bit processes on Nexus 9, sizeof(MediaImage) is 160, not 156.
In these cases, there is 4 bytes padding between the type field
and the next 64 bit field.

This fixes using the getInputImage/getOutputImage methods in
64 bit mode.

Keep the existing behaviour for the case if sizeof(MediaImage)
would be 156, if that is the case in other 64 bit ABIs (such
as x86_64 and mips64).

The alternative would be to change the type of the mType field
in MediaImage to size_t, to reduce the risk of non-obvious
alignment/padding between fields within the struct, clearly
getting rid of the possibility of the struct being 156 bytes
large in 64 bit environments.

Bug: http://b.android.com/90870
Change-Id: Ibe66ec7ac3bdd7e9e6adf5552c9620d34e1d8273
",2014/12/28 14:08,23
