Id,Title,Message,Time,Time_diff
11,Use QModelIndex to get the data from underlying model,"Use QModelIndex to get the data from underlying model

Change-Id: Ibeb70079afd566c78289168540296b926f36d1af
Initial-patch-by: Irfan Omair <irfan.omair@gmail.com>
Task-number: QTBUG-27597
",17/6/2014 15:16:13,362
12,Fix size of HB_FontRec in qharfbuzz_copy_p.h,"Fix size of HB_FontRec in qharfbuzz_copy_p.h

HB_FontRec was defined in qharfbuzz_copy_p.h as a void* typedef,
which is incorrect, and is the wrong size. This caused things
accessing QFontEngine data after an HB_FontRec to read from the
wrong offset. The visible consequence of this was incorrect text
rendering in OpenGL in Linux (QTBUG-29966).

Change-Id: I71e6a6c5b4ef7b2c8a92631d2b9540537afc56b1
",9/3/2013 01:54:28,177
13,WIP: put basic language types into QtQml import,"WIP: put basic language types into QtQml import

TODO: docs/unit tests

Change-Id: I8ff190f057fc92969020cf8e896da1649ca3069b
",23/5/2012 08:05:51,41
14,Squish: Fix minor bugs (mostly on Mac),"Squish: Fix minor bugs (mostly on Mac)

This avoids some timing issues as well as a problem
I only saw on Mac: Sometimes Squish fails inside
placeCursorToLine() with 'I don't know how to type on
object of type QmlJSEditor::QmlJSTextEditorWidget'.

Change-Id: Ifc192914375fb37362fa31399be4972c9ce50b92
",25/1/2012 11:00:24,13
15,Fix build with -Wpedantic,"Fix build with -Wpedantic

Too many semicolons...

Change-Id: I538a87a0bd160e2d91a36c8a9ed0016cf49430d8
",21/4/2015 13:30:35,0
16,Add internal ScenePosListener,"Add internal ScenePosListener

Makes it possible to implement floating text selection handle popups
that retain correct position whilst the scene position of the attached
text input control changes. The text input may be eg. in a Flickable
and thus does not receive geometry change notifications since its own
position in relation to the direct parent does not change.

Task-number: QTBUG-42538
Change-Id: Ic8f136150e1d094b81ea16705bd326542c4fc5eb",9/3/2015 14:59:14,141
17,Squashed commit of the following:,"Squashed commit of the following:

commit cb28f324e5c716a52c2caf5fe422ff153beaa305
Author: Jani Heikkinen <jani.heikkinen@theqtcompany.com>
Date:   Wed Dec 17 14:46:05 2014 +0200

    Added Qt3D as a part of qt5.git default repositories

    Change-Id: I0e74e6c6ab6c347396c449859b1cf24752a42fb8
    Reviewed-by: Johanna _ijälä <johanna.aijala@digia.com>

commit ac6168c0cb00b32a644509645cb77e33470c4e2c
Author: Oswald Buddenhagen <oswald.buddenhagen@theqtcompany.com>
Date:   Wed Mar 4 12:03:54 2015 +0100

    use git clone --branch instead of --no-checkout

    git submodule update does not cause an actual checkout if HEAD matches
    the recorded submodule sha1 even if it was not actually checked out.

    it would be possible to work around this by calling git checkout HEAD in
    each submodule if no files are checked out, but that seems hacky.

    instead, just make the module cloning already check out the desired
    branch. this produces checkouts that are within a few commits of the
    final sha1, so isn't too bad.

    Change-Id: I435c1a2e24f39fd8c0d65f0d90df0216715668b7

commit c2d151522bf8ae761937b51d1a630d3c5eb7a449
Author: Jani Heikkinen <jani.heikkinen@theqtcompany.com>
Date:   Tue Feb 17 12:41:59 2015 +0200

    Update copyright headers

    Qt copyrights are now in The Qt Company, so we could update the source
    code headers accordingly. In the same go we should also fix the links to
    point to qt.io.

    Change-Id: Ieb3be34b0d4061fb8dc886991528951f59dbd67e
    Reviewed-by: Tuukka Turunen <tuukka.turunen@digia.com>
    Reviewed-by: Iikka Eklund <iikka.eklund@theqtcompany.com>

Change-Id: I9b711c9db9f7edf17fb975d09e3e5c72975f0425
",20/3/2015 08:34:47,0
18,fix CreateShortcutOperation,"fix CreateShortcutOperation

CreateShortcutOperation has four optional parameters. Positional parameter
number three ""targetArguments"" and three named arguments ""workingDirectory"",
""iconPath"", and ""iconId"".

Change-Id: I39d89b8dfef6688a3501b59e7d48d7540f368c4e
",9/3/2015 15:33:41,178
19,Add missing space to user visible error message,"Add missing space to user visible error message

Change-Id: I526cef7a996ca7a7bd6de113e22bb7eb75a1b642
",5/3/2015 07:25:51,59
20,Fix remoting of objects without a classinfo set.,"Fix remoting of objects without a classinfo set.

meta is the QMetaObject we stop exporting here, not the one we export.
So by using object->metaObject() for that we were not exporting anything
at all.

This fixes a regression from 9f79c5a7, which removed the superClass() call.

Change-Id: If3cb8bbc281a6265b7b0023e71aaaed360a78228
",4/3/2015 14:32:21,38
21,[Fix] Change to QMetaType type lookup,"[Fix] Change to QMetaType type lookup

Switch from QVariant lookup (which only works for Qt types) to QMetaType
lookup (which works for custom types).

This duplicates the change in I15a391a0adbc4eb6f8b8abd7b04b6f860d0da09c,
which should be used instead (to get the additional tests) if that patch
is rebased.

Change-Id: Ie7e98a00ffce0b57bcff39a5558f9aba4d4ed682
",4/3/2015 03:33:50,39
22,Improve handling of XRandR events in XCB backend,"Improve handling of XRandR events in XCB backend

Querying X server for data can be very expensive, especially when there
are multiple processes querying it at the same time (which is exactly what
happens when screen configuration changes and all Qt applications receive
XRandR change notifications). This patch is aiming to reduce the number of
queries to X server as much as possible by making use of detailed information
available in the RRCrtcChangeNotify and RROutputChangeNotify events.

Firstly, the backend now does not rebuild all QXcbScreens on any change (which
involved the very expensive xcb_randr_get_screen_resources() call), but only
builds the full set of QXcbScreens once in initializeScreens(), and then just
incrementally updates it.

Secondly, it avoids querying X server for all screens geometry as much as
possible, and only does so when CRTC/Output change notification for a particular
screen is delivered.

As a result, handling of all XRandR events on screen change is reduced from tens
of seconds to less then a seconds and applications are better responsive after
that, because we don't block the event loop for long. The X server is also more
responsive after the screen change, since we are not overloading it with requests.

Change-Id: I9b8308341cada71dfc9590030909b1e68a335a1f
Reviewed-by: Shawn Rutledge <shawn.rutledge@digia.com>",24/2/2015 10:55:26,21
23,Merge remote-tracking branch 'origin/5.4' into dev,"Merge remote-tracking branch 'origin/5.4' into dev

Conflicts:
	.qmake.conf
	src/serialport/qserialport_unix.cpp
	src/serialport/qserialport_unix_p.h
	src/serialport/qserialport_win.cpp
	src/serialport/qserialport_win_p.h
	src/serialport/qserialport_wince.cpp
	src/serialport/qserialport_wince_p.h

Change-Id: Ief422ae7b630c37560cf3539346055d12212d8db
",16/2/2015 09:50:51,3
24,Fix overrride related warnings on clang for QQmlParserStatus,"Fix overrride related warnings on clang for QQmlParserStatus

There are plenty more cases in qtdeclarative but this particular case
catches 95% of all warnings coming from qtdeclarative in repos
depending on qtdeclarative.

Change-Id: Idce1ec91272959d0b632ffc97d71bdec370b192a
",9/2/2015 14:47:31,209
25,Windows: Introduce delayed population to the FreeType font database.,"Windows: Introduce delayed population to the FreeType font database.

Further Split apart Windows CE/Windows code paths to provide 2
implementations of populateFontDatabase():

- The desktop version uses a callback which only
  registers the font families using
  QPlatformFontDatabase::registerFontFamily() to be
  populated on demand later by populateFamily().

- The Windows CE version is unchanged.

Task-number: QTBUG-43774
Task-number: QTBUG-44647
Change-Id: Iad4ec849006a4daf86a5caea9afc89e83ccc7c63
Reviewed-by: Konstantin Ritt <ritt.ks@gmail.com>",11/2/2015 09:24:32,438
26,OS X: Decouple Qt and App SDK versions,"OS X: Decouple Qt and App SDK versions

Use the most recent SDK on the system in cases where
the SDK Qt is configured with is not available.

Change-Id: I13655cd6c336c67ad75ccf52936ca1ce79085e4a
",18/9/2014 09:25:31,6
27,GLSL: Do not leak engine,"GLSL: Do not leak engine

Change-Id: I7b218df141ed2e783fb965eb7114c8aee8094251
",12/1/2015 16:14:08,322
28,WIP: Adding new testcases to test separation of clients,"WIP: Adding new testcases to test separation of clients

Added a new file containing 3 tests to test separation of
clients:
1. auto-wrapped objects do not get published to newly
   initialized clients
2. auto-wrapped objects do not get published to already
   existing clients
3. signals are only sent to clients that know about that
   specific object

Change-Id: Idfc011f6e3dc45416a0606d2189f56517855dad3
",13/8/2014 13:36:36,5
29,Merge remote-tracking branch 'origin/5.4' into dev,"Merge remote-tracking branch 'origin/5.4' into dev

Conflicts:
	src/core/browser_context_qt.cpp
	src/webengine/api/qquickwebengineview_p.h

Change-Id: Icf51b24c433a2525e055d6e88412838d1b3aa41c
",11/11/2014 15:41:23,0
30,Fix QGraphicsItem caching to work at full resolution on HiDPI/Retina displays.,"Fix QGraphicsItem caching to work at full resolution on HiDPI/Retina displays.

Patch (by Mihail Naydenov) for enabling devicePixelRatio to be used together with GraphicsItem's cache.

Task-number: QTBUG-26795
Change-Id: I79554b1415f4cc86e069f78f8712442cbf7935a2
",13/11/2014 21:43:52,71
31,Android 5.0: extract RippleDrawable color,"Android 5.0: extract RippleDrawable color

This is essential for the Qt Quick Controls to be able
to visualize Android 5.0 buttons in pressed state.

Task-number: QTBUG-42488
Task-number: QTBUG-42520
Change-Id: I542a741bde30024cad752ec8497c5567acf68e96
",12/11/2014 12:21:01,28
32,Fix compiler warnings in QQuickDialog.,"Fix compiler warnings in QQuickDialog.

quickdialog_p.h: In constructor 'QQuickDialog::QQuickDialog(QObject*)':
qquickdialog_p.h:108:21: warning: 'QQuickDialog::m_enabledButtons' will be initialized after [-Wreorder]
qquickdialog_p.h:107:20: warning:   'QQuickAbstractDialog::StandardButton QQuickDialog::m_clickedButton' [-Wreorder]
qquickdialog.cpp:203:1: warning:   when initialized here [-Wreorder]
qquickdialog.cpp: In member function 'virtual void QQuickDialog::setVisible(bool)':
qquickdialog.cpp:233:25: warning: statement has no effect [-Wunused-value]

Change-Id: I01d3b2fe79e68a091fe1616bfbebad989880c9df
",19/9/2014 07:14:49,15
33,Fix wrong operator,"Fix wrong operator

Change-Id: I518cb737004ec2ba44bf48c3d29e33062a6fa09f
",16/9/2014 09:50:35,12
34,Fix compilation: can't pass QString temporaries to QString&,"Fix compilation: can't pass QString temporaries to QString&

outputpanemanager.cpp:726:76: error: no matching function for call to __ore::Internal::BadgeLabel::setText(QString)_
     m_badgeNumberLabel.setText(number ? QString::number(number) : QString());

QString::number() and QString() are both QString temporaries, so the
result of the ternary operator is an xvalue QString. You can't bind that
to an lvalue-ref QString.

Change-Id: Idd5d8d827982315114bbd49fb7fd514762d94219
",11/9/2014 02:06:16,58
35,QElapsedTimer: document that the timer is not initialized on creation,"QElapsedTimer: document that the timer is not initialized on creation

Change-Id: I1254db77a3be918ceeb4ebf2674efd8896655960
",22/8/2014 07:26:28,437
36,Map KEY_POWER to Qt::Key_PowerOff,"Map KEY_POWER to Qt::Key_PowerOff

KEY_POWER is now mapped when using evdevkeyboard

Task-number: QTBUG-40840
Change-Id: I1e7f34222a31d53ab8ffe549a482ec02cfb01ee3
",20/8/2014 08:40:26,20
37,Fix render scenegraph with no context,"Fix render scenegraph with no context

Related to commit 5494dc7bff733 which fixes QTBUG-39858
but introduces a new side-effect using the same
Qt-creator plugin like in the bugreport.

Problem is that the context is invalidated but not
destroyed and hence not recreated after hide+show
what results in

QQuickWidget: render scenegraph with no context
at QQuickWidgetPrivate::renderSceneGraph

The working solution is to also proper destroy
the context on QQuickWidget::hideEvent like done at
other places too. Then on QQuickWidget::showEvent
the context is recreated and then proper rendered.

Change-Id: I187f9e3ec144a36f67d10523534d2953c04fdb85
",15/8/2014 13:24:58,3
38,Fixing failing testcases,"Fixing failing testcases

Some testcases do not consider all messages. These changes make
the test wait at specific points until these messages are sent.

Change-Id: I77cc1477d3f5ea384f24da4c71fb925d7be74848
",11/8/2014 11:49:26,89
39,Fix the Windows build after accessibility patch was added.,"Fix the Windows build after accessibility patch was added.

Exclude some code from compilation on Windows for now.
Change-Id: I1961ccbf20a3ac9a7dfa643ba5110efc6a93e546
",10/7/2014 16:48:28,81
40,Remove Qt 4 code paths from adminauthorization_x11.cpp,"Remove Qt 4 code paths from adminauthorization_x11.cpp

Change-Id: Icd26199db7ba84b31c54b7daaa4e2a1c369915a2
",19/6/2014 12:39:54,6
41,Fix up Fancy Browser example.,"Fix up Fancy Browser example.

  * Prevent leaking of MainWindow.
  * Use proper command line argument parsing.
  * Make the Qt project page the default page.

Task-number: QTBUG-38069
Change-Id: Ic7c49200020df0dd510fe469c7e01d19b99506ae
",7/4/2014 12:11:40,72
42,Bump version to 5.2.1,"Bump version to 5.2.1

Because now qtwayland/stable depends on qtbase/stable
(mkspecs/features/wayland-scanner.prf).

Change-Id: Ie829de24a581352db3837193f4edfda6e90a28d0
",4/1/2014 14:23:09,85
43,cpp.qdoc: correct snippet paths Added qt.qdocconf Several references to it in qdoc-manual.qdoc,"cpp.qdoc: correct snippet paths
Added qt.qdocconf
Several references to it in qdoc-manual.qdoc

Task-number: QTBUG-31574

Change-Id: I722bc5596e038d6dea6ea60bdb37c48a0422647f
",10/6/2013 11:16:25,117
44,QmLDesigner: Fix warning.,"QmLDesigner: Fix warning.

Change-Id: Id466da7304a4afe0352d1f09d6f533f4f83bd810
",10/4/2013 08:50:18,177
45,"Doc: Corrected typo ""the the ""","Doc: Corrected typo ""the the ""

Corrected in qml-extending.qdoc

Task-number: QTBUG-28756

Change-Id: Ifb63c7e93488314c6d278518a8d2a5f20a6a66d8
",7/1/2013 12:57:50,192
46,WIP: fix bootstrap for win32-g++-cross,"WIP: fix bootstrap for win32-g++-cross

I suspect that win32 didn't used to be defined here.
Anyway, bootstrap is built for the build system, not
the target/host.

Change-Id: I8c670e58015b4a654a200cce86487bf56bc64155
",21/6/2012 12:32:00,0
47,Add QQuickView constructor that takes an engine as argument.,"Add QQuickView constructor that takes an engine as argument.

Change-Id: Ibe19175e67e439d153d6edf0df638d241239669a
",16/5/2012 11:56:40,13
48,QmlCppDebugging: State Transitions,"QmlCppDebugging: State Transitions

Updated state transitions for the caser when a breakpoint is
set in a cpp file while debugging QML.

Change-Id: I550d4bff628b60fc5492a9e726215e7a96f50a8b
",5/4/2012 15:15:19,24
49,QmakeProjectManager: Don't add mkspec include dir explicitly,"QmakeProjectManager: Don't add mkspec include dir explicitly

It will be added via INCLUDE anyway.

This also removes all code using BaseQtVersion::systemHeaderPaths(),
which is thus also removed. This function was introduced to support
Symbian.

Change-Id: Id372e1cfc20bd22de948ed9a7d28dfa9135cbfa9
Task-number: QTCREATORBUG-13964
",9/4/2015 10:44:30,266
50,Ensure the UTF-8 string for a xcb_keycode_t has the correct length.,"Ensure the UTF-8 string for a xcb_keycode_t has the correct length.

On my platform (Archlinux, libxcb 1.11-1) and a recent build of Qt dev
I noticed that writing anything to a QLineEdit was broken, as not only
the character for the pressed key was inserted, but also what looks
like whitespace. A simple debug program showed that a ""\u0000"" is
appended to every character in the QString text associated with a
QKeyEvent, which brought me to QXcbKeyboard::lookupString.

There, the size of the buffer is returned as 1 and apparently that
is also the amount of chars written to in the QByteArray buffer. There
is no '\x00' char at the end, but rather a literal char(0), potentially
from the default-initialization in the QByteArray::resize call.
This then gets included in the QString following the QString::fromUtf8
conversion.

By leveraging the size returned by the xcb API and passing that to
QString::fromUtf8 we can prevent this problem from arising.

I believe this might also be a bug in XCB, but this patch in Qt should
never be incorrect and being explicit seems to help in my situation.

Change-Id: Ic1d4390e4154e9ed729cd23286811d6eecdf54f6
",16/4/2015 15:57:06,58
51,WIP Qml&Js Code Model properies/methods/enums inspection,"WIP Qml&Js Code Model properies/methods/enums inspection

.. of builtIn qml and cpp code over code model dumps.

Change-Id: I70d5bec2933b682295c5242248a2b0f95dba4e76
",8/1/2015 19:45:02,164
52,Merge remote-tracking branch 'origin/5.5' into dev,"Merge remote-tracking branch 'origin/5.5' into dev

Change-Id: I44a6915c1212bb636456368a2b5dc36b9c26fe01
",19/3/2015 12:04:18,31
53,Update bundled FreeType to 2.5.5,"Update bundled FreeType to 2.5.5

Change-Id: Iea948e41f7761f1580382b3763d04c7a61383382
",7/3/2015 10:45:33,112
54,Add required CONFIG conditions to pro file,"Add required CONFIG conditions to pro file

The module will be skipped if the conditions are not met.

Change-Id: I99593777348bd8c74e8c32f0a4ff482bbaa8812d
",19/3/2015 10:36:19,219
55,QTBUG-33015: Fixed Delete key symbol in native menubar.,"QTBUG-33015: Fixed Delete key symbol in native menubar.

Change-Id: I4548cef7a10f792bba2d50b74787b0757d5015f7
",11/3/2015 14:35:16,923
56,Avoid detaching pixmaps when it has not changed,"Avoid detaching pixmaps when it has not changed

setDevicePixelRatio is often called unconditionally even when the
devicePixelRatio matches the pixmap or image.

This causes a lot of unncessary detaches wasting some memory.

Change-Id: I27535b2b22312ec0edc9bdc00c99d322afb727c1
Reviewed-by: Gunnar Sletta <gunnar@sletta.org>",9/3/2015 19:01:44,195
57,Fix Q_OS_MAC macro in tst_qdeclarativeflickable::flickVelocity(),"Fix Q_OS_MAC macro in tst_qdeclarativeflickable::flickVelocity()

Change-Id: I15889eee3cee1513e49576be40a7abf97a31da45
",23/2/2015 10:45:58,11
58,Utils: Introduce FileName::baseName(),"Utils: Introduce FileName::baseName()

* Replacement for QFileInfo::fileName()
* Supports additional path parts

Change-Id: I2b3e3dfb02617c8f98f1d67e16396bed97f97526
",10/1/2015 18:04:18,742
59,TextEdit: fix construction time text cache,"TextEdit: fix construction time text cache

QQuickTextEdit does not apply cached text to the underlying document
until component construction is complete. However, if text() was called
during the construction (eg. because of a binding), it would blindly
overwrite the cached text with (still) empty document content.

Task-number: QTBUG-41583
Change-Id: I6c5c1b6283d70d8a5ec2c8bd986095ee3c35a14c
",17/11/2014 11:46:43,3
60,restrict Product.name to a small character set,"restrict Product.name to a small character set

Especially directory separators must be excluded from product names.

Task-number: QBS-637
Change-Id: I722d0d2c78471d17a0111497c7e17d71b349ec57
",10/11/2014 14:40:50,102
61,Fix incorrect file permissions after commit 9c3a58a913a7e59359146264ee59d40d703d4db2,"Fix incorrect file permissions after commit 9c3a58a913a7e59359146264ee59d40d703d4db2

These files should not be executable

Change-Id: I292eb9df480a642a65f9065e4fe36bd52c093dc7
",30/10/2014 19:19:59,0
62,Cocoa: Don't activate popup windows.,"Cocoa: Don't activate popup windows.

Qt expects a handleWindowActivated call for non-
popup windows only. Add a window type check, similar
to the other handleWindowActivated calls.

Task-number: QTBUG-38707
Change-Id: Iaa5959675f7e3ae4664bdf785d3f374debb0d0a7
",23/10/2014 12:28:04,8
63,QShapedPixmapWindow: do not leak the backing store,"QShapedPixmapWindow: do not leak the backing store

Change-Id: Id7cc8cbbcd62c546055d525473f90d2bad0c144a
",30/10/2014 09:26:02,85
64,"Hardcode UTF-8 for ""unicode"" in QTextCodec::codecForHtml().","Hardcode UTF-8 for ""unicode"" in QTextCodec::codecForHtml().

ICU would return a utf-16 (endian dependent) codec for unicode
which is very rarely what people want. In most cases, unicode is
encoded in utf8 these days, so return a utf8 codec for it.

Task-number: QTBUG-41998
Change-Id: I51ee758d520702b263a8b2011787eb1f3455ed96
",27/10/2014 09:47:43,4
65,Merge remote-tracking branch 'origin/5.3' into 5.4,"Merge remote-tracking branch 'origin/5.3' into 5.4

Conflicts:
	src/gui/text/qtextengine.cpp
	src/plugins/platforms/xcb/qxcbconnection_xi2.cpp
	src/testlib/qtestcase.cpp
	src/testlib/qtestlog.cpp
	tests/auto/gui/text/qtextscriptengine/tst_qtextscriptengine.cpp
	tests/auto/widgets/widgets/qlineedit/tst_qlineedit.cpp

Change-Id: Ic5d4187f682257a17509f6cd28d2836c6cfe2fc8
",28/8/2014 15:27:14,17
66,Add iOS style stub (NOTE: cherry-pick of faa5f59),"Add iOS style stub (NOTE: cherry-pick of faa5f59)

The current look and feel on iOS (with the default Base style)
is terrible. This commit alone doesn't change anything, but it
allows us to do minor iOS-specific tweaks that will greatly
improve the usability on iOS already in Qt 5.4.

Change-Id: I86764dd92bdfaae8170a8cd6709177a9a064cda8
",18/9/2014 11:39:50,550
67,Fix failing assertion when compiling self-referencing QML singleton,"Fix failing assertion when compiling self-referencing QML singleton

When a QML singleton file accesses itself, we would hit incomplete
type data. Regression from commit b42c8c4de293af0b6e9c0691daa835939b54d4e1

Change-Id: Id0bd5fd71cf9be21f7e4ad8527fa8724a718d702
",10/9/2014 11:18:48,64
68,OS X: Fix pan gestures.,"OS X: Fix pan gestures.

The QPanGesture recognizer requires single-point touch events. The touch
implementation in Qt 4 would test Qt::WA_TouchPadAcceptSingleTouchEvents
and forward single touch events if set.

Making this work in Qt 5 is a little bit more involved since the platform
plugins don't know about widgets.

Change the Cocoa touch implementation to send single-point touch events
to QWidgetWindow windows only. Make QApplication forward single-point
touch events only if the target widget has the
Qt::WA_TouchPadAcceptSingleTouchEvents attribute set.

Task-number: QTBUG-35893
Change-Id: I68712a5e3efb4ece7a81ca42f49c412e525eeb3a
Reviewed-by: Jake Petroules <jake.petroules@petroules.com>",22/8/2014 08:18:57,14
69,Remove QQuickWindow::glslVersion & glslIsCoreProfile,"Remove QQuickWindow::glslVersion & glslIsCoreProfile

Superceded by the SurfaceFormat attached type

Change-Id: I7511fd28eb375eb3cd3cdd4bda6d82c1883e3094
",10/8/2014 11:28:33,56
70,Clean up tst_QPalette,"Clean up tst_QPalette

Remove ctor, dtor, and empty test functions.

Change-Id: I0cf60732258c4470f40ddb258d87f0ac2de64edf
",25/7/2014 21:28:10,0
71,Improve debug output of QPalette.,"Improve debug output of QPalette.

Task-number: QTBUG-39997
Change-Id: I25b8ce8791c25c7ef7b97270ec50dad45fbdfecd
",8/7/2014 14:07:42,971
72,Translate Super/Hyper keys to MetaModifier,"Translate Super/Hyper keys to MetaModifier

This is how it was done in Qt4. If users are interested
in an actual X11 keysym they can use QKeyEvent::nativeVirtualKey().

Change-Id: I710664e48c5db1633a357aa0a5d238f3453103ab
Task-number: QTBUG-38428
",17/6/2014 09:45:59,13
73,resolve output of .depend_command relative to $$OUT_PWD,"resolve output of .depend_command relative to $$OUT_PWD

... as that is the CWD of the command (since b139e7e96e5c).
leave the resolution relative to $$PWD as a fallback with a warning.

Investigated-by: Harald Hvaal <hhvaal@cisco.com>
Task-number: QTBUG-19352
Change-Id: I75de9444a647cd9e6f509e3d8eb3382dc985e5ca
",15/7/2013 13:22:51,0
74,mkspecs are installed to QT_HOST_DATA instead of QT_INSTALL_ARCHDATA.,"mkspecs are installed to QT_HOST_DATA instead of QT_INSTALL_ARCHDATA.

These are the same for normal builds, but differ when cross-compiling Qt.

Change-Id: I75eccc6f4b67b440a08c4aba41aabb7df686c9f9
",5/4/2013 09:59:48,315
75,Removed dead assignments,"Removed dead assignments

Change-Id: Ia4b9c27b8aa405e3e7c6e92639eb105689a0f299
",20/10/2011 18:02:58,8
76,fix CreateShortcutOperation,"fix CreateShortcutOperation

CreateShortcutOperation has four optional parameters. Positional parameter
number three ""targetArguments"" and three named arguments ""workingDirectory"",
""iconPath"", and ""iconId"".

Change-Id: I39d89b8dfef6688a3501b59e7d48d7540f368c4e
",9/3/2015 15:33:41,178
77,NodeInstanceServer::setupImports(): Fix warning about unused variable.,"NodeInstanceServer::setupImports(): Fix warning about unused variable.

Change-Id: I201c539dd8eedcad7856b030130365b57502fe72
",10/3/2015 08:13:44,206
78,Add testsupport QML API and error page signals,"Add testsupport QML API and error page signals

The testsupport API is used for test those features that are not
planned to be accessible via the public API. For example,
signals of the chromium's error page should not be visible for the
develepor but it is important to test whether the error page is loaded
properly.

Change-Id: Ie5b3265a207d05649cabd624a001a6ffe2e45971
Reviewed-by: Andras Becsi <andras.becsi@theqtcompany.com>",29/1/2015 17:47:34,56
79,OS X: prevent wheel events from closing popups,"OS X: prevent wheel events from closing popups

Commit 92c7cb81 implemented closing of popups on
wheel events, which is the expected behavior on
Windows.

This is not what we want on OS X, instead an open
popup should block scroll events to parent widgets.

As noted in the bug, the effect of 92c7cb81 on OS X
was particularly bad: context menus would in some
cases close immediately.

Change-Id: Id9fa372022b138082d8cf0895a189ada2f66bf7f
Task-number: QTBUG-43257
",9/1/2015 14:11:21,371
80,Android 5.0: add missing ripple effect,"Android 5.0: add missing ripple effect

Android 5.0 uses a new ripple effect for the pressed state of
button-like controls. Without this change, buttons don't react
to presses visually.

Control press points are not available via the style data, so we
keep it simple for now and always anchor to ripple to the center
so it looks visually pleasing enough.

Task-number: QTBUG-42520
Change-Id: Ic47014c653e780da41cb7b7d8bf7ea859a911a43",12/11/2014 12:42:41,14
81,C++: handle case-insensitive file names by keying on Utils::FileName,"C++: handle case-insensitive file names by keying on Utils::FileName

Change-Id: Ifc2d966388793f916ec7ad89fa3deb2deb0ab5dc
Task-number: QTCREATORBUG-12390
",17/11/2014 12:54:45,4
82,Enhance precision of the FP conversion to strings in Qvariant,"Enhance precision of the FP conversion to strings in QVariant

This now guarantees that doing a round-trip from an FP number to string
and back to number results in the same number. This change is required
because DBL_DIG and FLT_DIG don't have the meaning that we were
expecting them to, here: they mean the minimum number of digits of
precision in decimal (i.e., changing the last decimal will always cause
the FP number to change). We need the maximum number: there is one
change in the last decimal place that causes the FP number to change.

IEEE 754 single-precision has 24 binary digits and double precision has
53 binary digits in their mantissa. To convert that to decimal, multiply
by the number of decimal digits a binary digit represents (log2(10) =
0.3), then add one for the rounding and one more digit for the actual
precision we want. That is, for floats we now ask for 9 digits and for
double, 17 decimal digits.

Task-number: QTBUG-42574
Change-Id: Ic78beb60a218f75322f832d33d63fd84e7a65b65
Reviewed-by: Lars Knoll <lars.knoll@digia.com>
Reviewed-by: J_drzej Nowacki <jedrzej.nowacki@digia.com>",12/11/2014 04:00:06,253
83,Use QScopedPointer for XKB objects,"Use QScopedPointer for XKB objects

Using scoped pointers is nice for avoiding possible memory leaks.

Change-Id: Ie0be3389edb5dbca0f37a2a13395ee4bbee11cef",24/9/2014 08:54:59,3
